Designator,Footprint,Quantity,Value,LCSC Part #
BT1,TerminalBlock_bornier-2_P5.08mm,1,Lithium Battery,
BT2,BATHLD001TR,1,CR2032,
"C1, C2, C3, C77",CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,4,220uF,
"C10, C11, C14, C15, C16, C17, C20, C22, C37",0805,9,C,
"C12, C13, C18, C19, C21, C23, C27, C28, C29, C31, C32, C33, C34, C35, C36, C41, C42, C49, C73, C78, C79, C81, C82, C9",0805,24,0.1uF,
"C24, C60, C66, C70, C80",0805,5,1uF,
C25,0805,1,10n,
"C26, C40",0805,2,10pF,
"C30, C4, C48, C5, C6, C7, C8, C83",0805,8,10uF,
"C38, C39, C43, C44",0805,4,4.7uF,
"C45, C46, C47",VibrationProof_F,3,180uF,
"C50, C51, C52, C53, C54, C55",SMD_Lytic_E,6,50uF,
"C56, C57, C58, C59",EEEFP0J331AV,4,100uF,
"C61, C63, C68, C71",0805,4,1nF,
"C62, C69",0805,2,15nF,
C64,0805,1,0.01uF,
"C65, C67",0805,2,220nF,
C72,0805,1,100pF,
"C74, C75, C76",0805,3,10nF,
D1,DIOM5226X240N,1,B360A-13-F,
D2,0805,1,APT2012CGCK,
D3,SODFL4725X105N,1,RFN2LAM4STFTR,
"D4, D5, D6",0805,3,APHCM2012QBFC,
D7,SODFL1608X70N,1,1N4148WT,
"D8, D9",SODFL4725X105N,2,PMEG4030ETRX,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380,4,MountingHole,
IC1,SOT230P700X180-4N,1,MCP1799-3302H_DB,
IC10,SOIC127P600X175-16N,1,MUX509IDR,
IC2,SOIC127P1032X265-16N,1,DS3231M+TRL,
IC3,SOT95P280X145-5N,1,TMP36GRTZ-REEL7,
IC4,SOP65P640X120-16N,1,ADS122C04IPWR,
"IC5, IC7, IC8",SOT65P210X110-5N,3,INA280A3IDCKR,
IC6,QFP50P900X900X120-49N,1,LM5170QPHPTQ1,
IC9,SOP50P490X110-10N,1,DAC80501MDGSR,
J1,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_Switch,
"J2, J3, J8",TerminalBlock_bornier-2_P5.08mm,3,Conn_01x02_Female,
J4,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,
"J5, J6",PinSocket_2x01_P1.27mm_Vertical,2,Conn_01x02_Female,
J9,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle,
K1,G6QE1ADC12,1,G6QE-1A_DC12,
"L1, L2",B82559A6472A024,2,B82559A6472A024,
NT2,NetTie-2_SMD_Pad0.5mm,1,Net-Tie_2,
P1,Socket_Strip_Arduino_1x08,1,Power,
P2,Socket_Strip_Arduino_1x06,1,Analog,
P3,Socket_Strip_Arduino_1x10,1,Digital,
P4,Socket_Strip_Arduino_1x08,1,Digital,
Q1,SOT-23,1,PBHV9115TLH,
"Q10, Q11, Q12, Q13, Q14, Q5, Q6, Q9",LFPAK88,8,PSMNR55-40SSHJ,
Q2,Vishay_PowerPAK_1212-8_Single,1,SiS176LDN,
"Q3, Q4",SOT-23,2,PBHV8115T,
"Q7, Q8",TO-247-3_Vertical,2,IXTH30N50L2,
"R1, R17, R23, R33, R40, R46, R47, R49, R5, R50, R51, R52, R53, R6, R70, R71, R72, R73, R74, R75, R76",0805,21,10k,
"R10, R11, R12, R18, R19, R2, R20, R60, R61, R62, R63, R64, R65, R66, R67",0805,15,220,
"R13, R26, R30, R38, R39, R41",0805,6,1k,
"R14, R15, R16, R21, R22, R28, R8, R9",0805,8,0,
R24,0805,1,500,
"R25, R34, R36, R37, R43",WSLP40261L000FEA,5,GKM5R0010FE-TR,
R27,0805,1,1M,
R29,0805,1,20k,
"R3, R4, R7, R77, R78",0805,5,470,
R31,0805,1,4.42k,
R32,0805,1,26k,
R35,0805,1,3.3k,
R42,0805,1,4k,
"R44, R56",0805,2,96k,
"R45, R54",0805,2,634,
"R48, R59",0805,2,40k,
R55,0805,1,25,
"R57, R58",0805,2,9.09k,
R68,0805,1,"53,5k",
R69,0805,1,31.6k,
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Keystone_5000-5004_Miniature,9,TestPoint,
U1,SOT-223,1,LM1117-5.0,
U10,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302T,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX31855JASA,
"U4, U5",SOT-23-6_Handsoldering,2,TLV9151SIDBVR,
"U6, U7",SOT-23-5_HandSoldering,2,LMP7701,
U8,AD5663BRMZ-1,1,AD5663BRMZ-1,
U9,TSSOP-14_4.4x5mm_P0.65mm,1,MAX3377EEUD+,
